name,country,city,address,phone,website,rating,reviews_count,latitude,longitude,business_type,hours,type
Garage BnjMotors,France,Paris,"36 Rue Hoche, 94200 Ivry-sur-Seine, France",+33 7 68 41 85 07,https://www.instagram.com/bnjmotors_garage?igsh=Ym81ZzJmNGhnbDBj,4.7,14,48.8114291,2.3775233,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
GoodKids Motorcycles - Work Shop Vitry - GARAGE MOTO - Harley Davidson - Triumph - Toutes marques,France,Paris,"39 Av. du Groupe Manouchian, 94400 Vitry-sur-Seine, France",+33 1 88 33 83 00,https://www.goodkids.co/,4.8,124,48.7909437,2.4037283,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Avantages Moto,France,Paris,"69 Av. Félix Faure, 75015 Paris, France",+33 1 40 60 87 17,N/A,4.3,66,48.8401948,2.2859169,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,Motorcycle Repair Shop
Alesia Moto - Honda,France,Paris,"106 Boulevard Brune, 75014 Paris, France",+33 1 53 90 16 90,https://alesiamoto.fr/,4.4,628,48.8242613,2.3199534,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
DOC'BIKER,France,Paris,"86 Rue de Paris, 93100 Montreuil, France",+33 1 48 58 88 37,https://docbiker.com/centre/doc-biker-montreuil/?utm_source=google&utm_medium=local&utm_campaign=Multidiffusion&utm_content=DBTMON&origin=GMB,3.6,83,48.8570179,2.4288475,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
K2roues,France,Paris,"110 Bd Henri Sellier, 92150 Suresnes, France",+33 9 51 89 03 48,N/A,4.8,163,48.864507,2.2186781,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Speed 2ROO,France,Paris,"128 Av. du Général Leclerc, 93500 Pantin, France",+33 1 48 46 79 15,N/A,3.9,41,48.9001734,2.4106477,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Actual Scoot,France,Paris,"86 Bd Beaumarchais, 75011 Paris, France",+33 1 43 38 55 56,N/A,4.7,116,48.8593299,2.3679414,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Hauts de Seine Service,France,Paris,"17 Rue de Colombes, 92600 Asnières-sur-Seine, France",+33 1 47 33 15 00,https://www.hondamoto-asnieres.com/,4.7,358,48.91265,2.284326,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,Motorcycle Repair Shop
L'art Du 2 Roues,France,Paris,"14 Rue Hégésippe-Moreau, 75018 Paris, France",+33 7 68 01 79 34,http://lartdu2roues-paris.site-solocal.com/?utm_source=gmb,4.6,527,48.8874579,2.327223,Motorcycle repair shop,Closed ⋅ Opens 8 AM,Motorcycle Repair Shop
Maxi scoot,France,Paris,"184 Bd de la Boissière, 93100 Montreuil, France",+33 7 58 95 24 61,N/A,5.0,136,48.8770424,2.4632663,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MOTOBIKE93100,France,Paris,"39 Rue Léon Loiseau, 93100 Montreuil, France",+33 6 52 73 79 13,N/A,4.9,130,48.8707358,2.4384115,Scooter repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Triumph Élysée Motor Atelier,France,Paris,"22 Rue le Sueur, 75016 Paris, France",+33 1 53 64 50 10,http://elyseemotor.com/notre-atelier,4.4,78,48.875355,2.2873952,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,Motorcycle Repair Shop
Digital Moto Saint Maur,France,Paris,"102 Av. Jean Jaurès, 94100 Saint-Maur-des-Fossés, France",+33 1 45 11 09 02,https://www.digitalmoto.fr/,5.0,85,48.7872316,2.4825987,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
PureRider - Amelot (SAV),France,Paris,"61 Rue Amelot, 75011 Paris, France",+33 1 55 28 30 47,https://centre.docbiker.com/41-purerider-amelot-sav?utm_source=gmb,4.3,35,48.8584774,2.3684056,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
AFTM MOTORS,France,Paris,"52 Rue de Paris, 92110 Clichy, France",+33 7 45 18 34 92,N/A,4.9,73,48.8994554,2.3055187,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Rome Moto,France,Paris,"129 Rue de Rome, 75017 Paris, France",+33 6 80 37 93 63,https://www.facebook.com/people/Rome-Moto/61577766148653/?utm_source=gmb,4.1,81,48.885251,2.3170775,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Blj 2 Wheels,France,Paris,"237 Rue Marcadet, 75018 Paris, France",+33 1 53 06 60 60,http://www.blj-2-roues.com/,4.2,162,48.8923356,2.3296542,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,Motorcycle Repair Shop
Génération Scrambler,France,Paris,"42 Rue de la Réunion, 75020 Paris, France",+33 1 77 19 85 94,http://www.generation-scrambler.fr/,4.4,37,48.8545239,2.4023087,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Doc'Biker Paris 3 Réparation Scooter et Moto,France,Paris,"44 Bd de Sébastopol, 75003 Paris, France",+33 1 43 36 36 50,https://www.docbiker.com/trouver-un-centre/doc-biker-paris-03,3.9,82,48.8623267,2.3505639,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
BLOCK BIKE DEPANNAGE 2 ROUES,France,Paris,"28 BIS Rue des Processions, 93100 Montreuil, France",+33 6 62 24 93 44,https://theblockbike.com/,4.4,84,48.8784717,2.4583823,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Marseille Moto,France,Marseille,"26 Rue des Abeilles, 13001 Marseille, France",+33 6 83 79 31 93,http://www.marseillemoto.fr/,4.9,83,43.3017098,5.3855916,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
sun motorcycles,France,Marseille,"47 Rue Julia, 13005 Marseille, France",+33 6 12 66 51 15,N/A,5.0,25,43.2863317,5.3958514,Motorcycle repair shop,N/A,Motorcycle Repair Shop
Marseille,France,Marseille,"21 Rue Puvis de Chavannes, 13001 Marseille, France",+33 7 58 20 53 23,N/A,5.0,2,43.299478,5.373673999999999,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Le QG Motors - Garage Moto - Réparation & entretient,France,Marseille,"153 Chem. Borie, 13821 La Penne-sur-Huveaune, France",+33 4 91 35 45 59,https://leqgmotors.fr/,5.0,56,43.2828471,5.519686699999999,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Good Speed Moto,France,Marseille,"46 Rue Pierre Béranger, 13012 Marseille, France",+33 4 65 85 87 97,https://www.facebook.com/Good.speed.moto/,4.9,104,43.3115361,5.4467644,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Doc' Biker,France,Marseille,"ANGLE BD SAKAKINI/BD CHAVE, STATION TOTALACCESS RELAIS PARC BARRY, 13005 MARSEILLE 05, France",+33 4 91 63 14 90,http://www.docbiker.com/les-centres/centre-marseille/,4.7,175,43.2951927,5.4002103,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Bikebusters - Révision & Services rapides moto & scooters,France,Marseille,"150 Rue Breteuil, 13006 Marseille, France",+33 4 86 68 31 33,http://bikebusters.fr/,5.0,60,43.2839219,5.3782308,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MOTOR-ISLAND,France,Marseille,"41 Rue du Dr Fiolle, 13006 Marseille, France",+33 4 91 52 44 86,https://www.facebook.com/MotorIslandMarseille,4.8,96,43.2843589,5.3809777,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
MotoCare,France,Marseille,"Rue Prte Baussenque, 13002 Marseille, France",+33 6 75 83 26 78,N/A,4.7,63,43.2979732,5.3667541,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,Motorcycle Repair Shop
Storic Motorcycles,France,Marseille,"44 Bd Fifi Turin, 13010 Marseille, France",+33 7 61 45 52 34,http://www.storic-motorcycles.com/,4.8,35,43.2807862,5.4125761,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Upside moto,France,Marseille,"27 Rue Roger Brun, 13005 Marseille, France",+33 6 33 76 67 08,https://www.facebook.com/NicoUpside,4.8,63,43.2862784,5.3918256,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Moto Top,France,Marseille,"36 Cr Lieutaud, 13001 Marseille, France",+33 6 59 05 05 05,https://www.facebook.com/Mototopbik,4.5,106,43.2936885,5.3820311,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Electromotors,France,Marseille,"6 Trav. Baussenque, 13002 Marseille, France",+33 6 31 27 47 96,https://electromotors13.wixsite.com/website,4.4,25,43.2989329,5.3670404,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,Motorcycle Repair Shop
MOTOR BIKE 13 Entretien réparation scooter / Service carte grise / Vente pièces détachées,France,Marseille,"3 Bd Louis Guichoux, 13014 Marseille, France",+33 9 80 84 34 67,N/A,4.6,91,43.3259113,5.3746635,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Sud Performance 2 Roues,France,Marseille,"8 Rue Rolland, 13010 Marseille, France",+33 6 46 83 60 94,N/A,5.0,2,43.2820637,5.3977882,Motorcycle repair shop,N/A,Motorcycle Repair Shop
SELF BIKER,France,Marseille,"1985 Chem. de la Vallée, 13400 Aubagne, France",+33 6 95 92 19 71,https://www.self-biker.com/,4.9,50,43.2838933,5.5211536,Motorcycle repair shop,Closed ⋅ Opens 3:30 PM Mon,Motorcycle Repair Shop
Speed Race Motorcycles,France,Marseille,"3bis Rue Brandis, 13005 Marseille, France",+33 7 84 94 82 71,N/A,5.0,1,43.2878012,5.3942912,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,Motorcycle Repair Shop
Monster Moto,France,Marseille,"165 Rue d'Endoume, 13007 Marseille, France",+33 9 73 66 84 64,http://monster-moto-marseille.com/,4.9,61,43.2861478,5.360916,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,Motorcycle Repair Shop
Team Scooter,France,Marseille,"21 Rue Puvis de Chavannes, 13001 Marseille, France",+33 7 58 20 53 23,N/A,5.0,13,43.299478,5.373673999999999,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
DEVmoto,France,Marseille,"15 Rue de Cassis, 13008 Marseille, France",+33 6 95 25 86 43,http://devmoto.com/,4.4,73,43.2796847,5.3893759,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,Motorcycle Repair Shop
Nel Moto,France,Marseille,"45 BIS Bd Françoise Duparc, 13004 Marseille, France",+33 9 54 96 00 84,N/A,4.7,98,43.303253,5.4005378,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,Motorcycle Repair Shop
SSM Motorrad Marseille - Spécialiste moto BMW - Préparation Entretien Réparation,France,Marseille,"153 Chem. Borie, 13821 La Penne-sur-Huveaune, France",+33 4 91 35 45 59,https://leqgmotors.fr/preparation-moto-bmw-marseille-ssm-motorrad/,5.0,18,43.2828358,5.5196176,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Le QG Motors / SSM Motorrad Marseille,France,Marseille,"115 Bd de la Millière, 13011 Marseille, France",N/A,N/A,5.0,1,43.2843214,5.4986085,Motorcycle repair shop,N/A,Motorcycle Repair Shop
RS BIKE MECANIQUE,France,Marseille,"55 Bd des Fauvettes, 13012 Marseille, France",+33 7 73 67 31 02,N/A,3.9,30,43.3147556,5.4390163,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,Motorcycle Repair Shop
Biker13,France,Marseille,"13002 36 Rue de Forbin, 13002 Marseille, France",+33 6 58 53 77 02,N/A,N/A,0,43.3057617,5.3690471,Motorcycle repair shop,Closed ⋅ Opens 8 AM,Motorcycle Repair Shop
Clinic Moto,France,Marseille,"81 Av. du 8 Mai 1945, 13240 Septèmes-les-Vallons, France",+33 6 11 13 07 54,N/A,4.5,42,43.3891861,5.3614238,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Nel's Bike,France,Marseille,"58 Av. de la Croix Rouge, 13013 Marseille, France",+33 6 52 12 08 04,N/A,5.0,2,43.331585,5.4337819,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Nico moto,France,Marseille,"2 Trav. de la Resclave, 13011 Marseille, France",+33 6 12 02 15 06,N/A,5.0,6,43.2874016,5.470936399999999,Motorcycle repair shop,N/A,Motorcycle Repair Shop
Génération 2 roues,France,Marseille,"4 Bd Théodore Thurner, 13006 Marseille, France",+33 9 70 99 96 68,N/A,3.0,48,43.2913112,5.3832224,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
En Roue Libre,France,Marseille,"29 Bd Baille, 13006 Marseille, France",+33 9 84 50 43 14,https://www.instagram.com/enrouelibremarseille/,4.9,110,43.2869145,5.3869519,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
KB MOTORS by la mecanique du scooter,France,Marseille,"76 Cr Lieutaud, 13006 Marseille, France",+33 7 67 69 32 59,N/A,4.9,69,43.2921932,5.3826035,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
CHRISTOPHE SERVICE,France,Marseille,"118 Rue Ferrari, 13005 Marseille, France",+33 4 91 94 28 89,http://christophe-service.fr/,4.6,66,43.2929107,5.3920864,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Moto Control,France,Marseille,"265 Av. de Mazargues, 13008 Marseille, France",+33 4 91 76 53 16,N/A,4.2,40,43.262526,5.393296299999999,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
meca2roo 13,France,Marseille,"7 Rue Pierre Doize, 13010 Marseille, France",+33 6 03 40 84 12,https://www.meca2roo13.fr/,4.2,54,43.2818278,5.4299344,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
THE MANIAC GARAGE,France,Marseille,"Bd de la Résistance, 13380 Plan-de-Cuques, France",+33 7 81 85 27 67,N/A,N/A,0,43.3450941,5.4657548,Motorcycle repair shop,N/A,Motorcycle Repair Shop
Racing Moto 13,France,Marseille,"81 Rue Marengo, 13006 Marseille, France",+33 4 91 47 51 52,N/A,4.3,79,43.2878555,5.3858088,Motorcycle repair shop,Closed ⋅ Opens 8:45 AM,Motorcycle Repair Shop
CLUBSTYLE GARAGE,France,Marseille,"3 Rue Brandis, 13005 Marseille, France",+33 9 85 13 37 93,N/A,5.0,9,43.2878012,5.3942912,Motorcycle repair shop,Closed ⋅ Opens 10 AM,Motorcycle Repair Shop
Majgier Thomas,France,Marseille,"7 All. Goya, 13008 Marseille, France",+33 9 52 53 66 61,N/A,4.0,1,43.2421254,5.386496999999999,Motorcycle repair shop,N/A,Motorcycle Repair Shop
DEDECO,France,Marseille,"24 Rue Guibal, 13001 Marseille, France",+33 4 91 95 61 99,http://www.dedeco.fr/,5.0,55,43.3062638,5.3851303,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
Moto Doc,France,Marseille,"53 Cr Lieutaud, 13006 Marseille, France",+33 9 61 11 97 68,N/A,4.0,25,43.2921516,5.3828956,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Wolves' Destination,France,Marseille,"47 bis boulevard leau, Rés les Nouvelles Arènes Bat B, 13008 Marseille, France",+33 6 50 93 99 81,N/A,5.0,3,43.2549731,5.383921099999999,Motorcycle repair shop,Open 24 hours,Motorcycle Repair Shop
Rapid Bike Moto Scooter,France,Marseille,"131 Cr Lieutaud, 13006 Marseille, France",+33 7 50 35 75 07,N/A,4.1,14,43.2879308,5.384869,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Univers 2 Roues,France,Marseille,"29 Cr Lieutaud 31-33, 13006 Marseille, France",+33 4 91 48 70 05,https://www.instagram.com/univers2roues13006/?hl=fr,4.1,13,43.2939661,5.3824017,Motorcycle repair shop,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
ALOM Marseille,France,Marseille,"43 Rue Fauchier, 13002 Marseille, France",+33 6 31 53 48 84,https://www.instagram.com/alom_marseille?igsh=ZHZqNW9wZzI0eDJn&utm_source=qr,5.0,63,43.3036657,5.3694362,Motorcycle parts store,Closed ⋅ Opens 10:30 AM,Motorcycle Repair Shop
Team Desenti,France,Marseille,"80 Rue Monte Cristo, 13004 Marseille, France",+33 4 91 49 02 76,https://www.garage-team-desenti.fr/,4.2,43,43.2994802,5.3962138,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
SPEEDWAY MARSEILLE,France,Marseille,"119 Cr Lieutaud, 13006 Marseille, France",+33 4 91 47 57 04,https://www.speedway.fr/pages/1-magasins/20-speedway-marseille.html?utm_source=gmb,4.4,1070,43.2884236,5.3846209,Motorcycle parts store,Closed ⋅ Opens 9 AM,Motorcycle Repair Shop
Avenir Motoscoots,France,Marseille,"53 Bd de Paris, 13002 Marseille, France",+33 4 96 17 52 83,N/A,5.0,87,43.3077974,5.3712206,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,Motorcycle Repair Shop
